[['46.9290481, -124.1727296'], ['non-scenic', 0.00058569841], ['sightseeing', 0.00025625931], ['non-scenic', 1.5775162e-05]]
[['46.9292112, -124.1728181'], ['non-scenic', 0.00057670288], ['sightseeing', 0.00028230227], ['non-scenic', 3.3135737e-05]]
[['46.9294583, -124.1728789'], ['non-scenic', 0.00043364984], ['non-scenic', 0.00033753586], ['non-scenic', 0.00011650709]]
[['46.9348241, -124.1730782'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9443197, -124.1726148'], ['non-scenic', 0.0020234396], ['non-scenic', 0.00013163885], ['nature and woods', 2.7468481e-05]]
[['46.952693, -124.171721'], ['non-scenic', 0.00098720344], ['non-scenic', 3.5070039e-05], ['fields', 8.7767739e-06]]
[['46.9721865, -124.1703935'], ['fields', 3.5015008e-05], ['non-scenic', 2.2829849e-05], ['non-scenic', 3.5484968e-06]]
[['46.9939678, -124.1739714'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0174145, -124.1720374'], ['nature and woods', 1.822834e-05], ['nature and woods', 8.7279814e-06], ['nature and woods', 2.6688763e-06]]
[['47.0371551, -124.1704671'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0415777, -124.1712168'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0507861, -124.1713494'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0705036, -124.1755512'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0859236, -124.1740184'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0991147, -124.1765235'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1112869, -124.1792832'], ['non-scenic', 0.00019187019], ['fields', 0.00017916132], ['non-scenic', 1.133049e-05]]
[['47.1141976, -124.1800708'], ['non-scenic', 8.7135049e-05], ['non-scenic', 3.4242687e-05], ['nature and woods', 7.596338e-06]]
[['47.1411114, -124.1859106'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.14686589999999, -124.188053'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.152573, -124.189305'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.16403409999999, -124.1915588'], ['nature and woods', 4.1522549e-06], ['nature and woods', 3.0830286e-06], ['nature and woods', 1.5013176e-06]]
[['47.1754813, -124.1953176'], ['non-scenic', 0.00034632281], ['non-scenic', 2.5390396e-05], ['non-scenic', 3.5535345e-06]]
[['47.1823313, -124.1970703'], ['non-scenic', 4.9485814e-05], ['non-scenic', 3.255195e-05], ['nature and woods', 8.48325e-06]]
[['47.1881504, -124.1989757'], ['non-scenic', 0.00015044786], ['non-scenic', 5.5953475e-05], ['non-scenic', 3.6444751e-05]]
[['47.19561909999999, -124.2009493'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2070677, -124.2038861'], ['non-scenic', 0.0049012615], ['sightseeing', 0.00027362132], ['non-scenic', 3.6015448e-05]]
[['47.2189789, -124.2084989'], ['non-scenic', 4.9126531e-05], ['nature and woods', 2.7984746e-05], ['non-scenic', 1.3879011e-05]]
[['47.2251191, -124.2104831'], ['nature and woods', 6.6747147e-05], ['nature and woods', 3.1570271e-05], ['non-scenic', 5.3527247e-06]]
[['47.23450800000001, -124.214902'], ['non-scenic', 0.0011981123], ['sightseeing', 0.00069646316], ['fields', 0.00010977383]]
[['47.2389079, -124.2186222'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.242717, -124.2177941'], ['non-scenic', 0.00014177182], ['non-scenic', 0.00013614129], ['non-scenic', 6.3849002e-05]]
[['47.25865719999999, -124.2253089'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.26655909999999, -124.2256112'], ['nature and woods', 2.9644356e-05], ['nature and woods', 2.3278559e-05], ['nature and woods', 1.1062636e-05]]
[['47.27493399999999, -124.2291416'], ['non-scenic', 2.1735374e-05], ['nature and woods', 1.7253651e-05], ['nature and woods', 9.5222276e-06]]
[['47.2837348, -124.2292798'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.292243, -124.232984'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.30340289999999, -124.2319065'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.31114729999999, -124.2288409'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3201206, -124.2285303'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3259766, -124.2367858'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.33810159999999, -124.2287464'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3481896, -124.2286123'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3596397, -124.2315556'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3652808, -124.2311666'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3749998, -124.2302408'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.38308610000001, -124.2287036'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3954964, -124.2296564'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4001074, -124.2279464'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4083479, -124.2265336'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4214135, -124.2283025'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4215264, -124.2297831'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4429969, -124.2286766'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.442997, -124.2286991'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.447609, -124.2188967'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4665146, -124.2265382'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4673028, -124.2289282'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4781079, -124.2472132'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4966643, -124.2432889'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.512174, -124.2452134'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
