[['47.5720791, -117.6075697'], ['non-scenic', 0.0027669605], ['non-scenic', 4.7428093e-05], ['non-scenic', 1.1465911e-05]]
[['47.58107709999999, -117.607566'], ['non-scenic', 7.4018499e-05], ['fields', 2.3512364e-05], ['non-scenic', 1.0149671e-05]]
[['47.5900769, -117.6075155'], ['non-scenic', 0.0001582477], ['non-scenic', 3.8145248e-05], ['non-scenic', 3.1026153e-05]]
[['47.5985354, -117.6082889'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6080782, -117.6074669'], ['non-scenic', 1.0753204e-05], ['non-scenic', 7.468383e-06], ['non-scenic', 3.5722899e-06]]
[['47.6170678, -117.6040727'], ['non-scenic', 3.6963032e-05], ['non-scenic', 1.3734973e-05], ['non-scenic', 2.7478206e-06]]
[['47.6283567, -117.6083266'], ['water', 9.1485221e-05], ['non-scenic', 2.6724047e-05], ['non-scenic', 1.24387e-05]]
[['47.6355411, -117.6083253'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.64292320000001, -117.608334'], ['non-scenic', 3.6404537e-05], ['non-scenic', 1.1469445e-05], ['non-scenic', 7.2071907e-06]]
[['47.65373899999999, -117.6083219'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6628469, -117.609349'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6718775, -117.6083254'], ['non-scenic', 0.00010574112], ['non-scenic', 1.8702623e-05], ['water', 1.2279665e-05]]
[['47.6791126, -117.6083267'], ['non-scenic', 4.3044907e-05], ['water', 4.0257099e-05], ['non-scenic', 1.6159509e-05]]
[['47.6899666, -117.6145994'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6976704, -117.6090376'], ['water', 5.2690844e-05], ['nature and woods', 2.7554406e-06], ['nature and woods', 1.0245282e-06]]
[['47.70883389999999, -117.6040838'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7154159, -117.6095413'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.72433789999999, -117.6085553'], ['fields', 1.7424269e-05], ['nature and woods', 1.0497962e-05], ['nature and woods', 7.2534185e-06]]
[['47.73386259999999, -117.6094427'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7442795, -117.6083332'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7558446, -117.6021017'], ['nature and woods', 3.0062654e-06], ['nature and woods', 2.3907353e-06], ['nature and woods', 1.3295271e-06]]
[['47.7618422, -117.6054919'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.77009049999999, -117.6043528'], ['nature and woods', 8.668062e-06], ['nature and woods', 2.4976778e-06], ['nature and woods', 3.7356619e-07]]
[['47.78043400000001, -117.6083415'], ['nature and woods', 1.7807823e-05], ['fields', 1.7101467e-05], ['nature and woods', 1.5507301e-05]]
[['47.7836851, -117.5994307'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.797975, -117.6044985'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.80618, -117.6107104'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8139593, -117.6058482'], ['fields', 0.00096193742], ['nature and woods', 2.6261863e-05], ['nature and woods', 5.3319781e-07]]
[['47.8240676, -117.6083225'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8332741, -117.6075901'], ['non-scenic', 0.00045543574], ['non-scenic', 0.00013641905], ['non-scenic', 4.9202084e-05]]
[['47.8419943, -117.6091425'], ['non-scenic', 1.7126133e-05], ['nature and woods', 3.353088e-06], ['nature and woods', 1.4924834e-06]]
[['47.8519414, -117.6084566'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8600336, -117.6047488'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.869063, -117.6102296'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8792175, -117.6109488'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.88568799999999, -117.6129137'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8963758, -117.6075632'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9018934, -117.6047238'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9140729, -117.6083456'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9231138, -117.6059202'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9314346, -117.6083845'], ['fields', 0.00010598834], ['non-scenic', 2.7072138e-05], ['nature and woods', 1.5407946e-05]]
[['47.9411296, -117.6065482'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9500959, -117.6069611'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9590888, -117.6071706'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9680182, -117.6084073'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9755485, -117.6083673'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9860202, -117.6044415'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9932177, -117.609307'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0043314, -117.6043673'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0124388, -117.6015602'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0220208, -117.6084114'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0293255, -117.6104051'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0397725, -117.6067704'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0482271, -117.6103833'], ['non-scenic', 7.4783216e-05], ['nature and woods', 5.1524116e-06], ['nature and woods', 1.5285591e-06]]
[['48.0552167, -117.6107451'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0648324, -117.6070988'], ['non-scenic', 1.5074987e-05], ['nature and woods', 1.78699e-06], ['nature and woods', 8.0405835e-07]]
[['48.0702369, -117.6015117'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0894619, -117.6032668'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0941666, -117.6082055'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1035962, -117.6074744'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1114148, -117.6083416'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.11695530000001, -117.6086023'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1265625, -117.6029997'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1429918, -117.6123146'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1480188, -117.6080479'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.15652009999999, -117.6043593'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1666239, -117.6100694'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
