[['47.2122441, -117.4989135'], ['nature and woods', 0.00045627216], ['non-scenic', 7.5790769e-05], ['non-scenic', 6.3404405e-05]]
[['47.2203971, -117.4928606'], ['non-scenic', 0.00099529256], ['non-scenic', 9.6995445e-06], ['nature and woods', 1.7793392e-06]]
[['47.2260131, -117.4899487'], ['nature and woods', 0.00030071716], ['nature and woods', 4.3389031e-05], ['nature and woods', 1.7119295e-05]]
[['47.2386227, -117.4986459'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2519966, -117.4928163'], ['fields', 0.00016713442], ['non-scenic', 6.031376e-06], ['non-scenic', 3.7361333e-06]]
[['47.2546548, -117.4998141'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2668762, -117.4988369'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2734046, -117.4941244'], ['fields', 2.4098683e-05], ['fields', 1.8564504e-05], ['fields', 9.2680793e-06]]
[['47.2835176, -117.4886825'], ['non-scenic', 4.293695e-05], ['fields', 3.5468725e-05], ['fields', 1.2336175e-05]]
[['47.29455189999999, -117.4918865'], ['non-scenic', 0.00025935157], ['fields', 5.3631022e-05], ['non-scenic', 3.0251551e-05]]
[['47.3052577, -117.4952517'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3103379, -117.4993611'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3208537, -117.4860623'], ['non-scenic', 4.6252968e-05], ['non-scenic', 2.7367578e-05], ['fields', 2.6682023e-05]]
[['47.3324842, -117.4911736'], ['nature and woods', 0.00036469486], ['non-scenic', 4.9792729e-05], ['non-scenic', 1.141647e-05]]
[['47.33971469999999, -117.4986849'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3444476, -117.4899256'], ['non-scenic', 0.0001141367], ['non-scenic', 8.1223843e-05], ['fields', 9.3244034e-06]]
[['47.3562643, -117.491674'], ['non-scenic', 0.0033228339], ['nature and woods', 5.3334086e-05], ['water', 2.0192785e-05]]
[['47.36195559999999, -117.4984702'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3772967, -117.5011228'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3823664, -117.4955264'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3908317, -117.4986845'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.402646, -117.4995014'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4054482, -117.4987173'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4196754, -117.4977973'], ['non-scenic', 0.00041921122], ['non-scenic', 0.00016493205], ['fields', 0.00012745835]]
[['47.432683, -117.5024792'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4361299, -117.5000608'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.444952, -117.4977926'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4536672, -117.4957615'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4638315, -117.498041'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4729506, -117.4948323'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.48253829999999, -117.4984408'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4896656, -117.4946379'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4945607, -117.4900138'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5113076, -117.497517'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5118571, -117.4994545'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.52944979999999, -117.4969696'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5359846, -117.4970429'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5462155, -117.4954501'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5539745, -117.4995208'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5630991, -117.4985679'], ['non-scenic', 8.361756e-06], ['nature and woods', 8.3152981e-06], ['nature and woods', 1.970935e-06]]
[['47.5727133, -117.5009855'], ['nature and woods', 3.0527742e-06], ['nature and woods', 2.3843386e-06], ['nature and woods', 5.7434045e-07]]
[['47.5810683, -117.4975042'], ['nature and woods', 6.6088951e-06], ['non-scenic', 4.6838886e-06], ['non-scenic', 6.6210578e-07]]
[['47.5900577, -117.4972739'], ['non-scenic', 3.0532632e-05], ['non-scenic', 8.8760353e-06], ['non-scenic', 4.0321979e-06]]
[['47.5990719, -117.49718'], ['non-scenic', 0.0034864941], ['non-scenic', 5.4073007e-05], ['non-scenic', 5.089464e-05]]
[['47.6081726, -117.4986804'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.61716209999999, -117.4985709'], ['nature and woods', 3.1751781e-05], ['nature and woods', 2.4500207e-05], ['non-scenic', 1.8797618e-06]]
[['47.6271133, -117.5008733'], ['non-scenic', 0.00036935031], ['non-scenic', 3.6372559e-05], ['non-scenic', 1.0609138e-05]]
[['47.6358521, -117.4968304'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6433483, -117.4986919'], ['non-scenic', 2.3329432e-05], ['non-scenic', 5.9929775e-06], ['nature and woods', 1.3448339e-06]]
[['47.65195629999999, -117.4986426'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6604515, -117.4991706'], ['nature and woods', 7.145828e-06], ['nature and woods', 8.037062e-07], ['nature and woods', 6.5639392e-07]]
[['47.6718914, -117.4986592'], ['nature and woods', 2.2074004e-05], ['nature and woods', 1.2689035e-05], ['nature and woods', 3.2601049e-06]]
[['47.6762858, -117.4961326'], ['nature and woods', 2.2724586e-05], ['nature and woods', 1.5967062e-05], ['nature and woods', 2.9661164e-06]]
[['47.6890231, -117.4993371'], ['nature and woods', 1.3247234e-05], ['nature and woods', 7.5083983e-07], ['nature and woods', 5.6472788e-07]]
[['47.6975974, -117.5002947'], ['non-scenic', 0.00011114946], ['non-scenic', 2.0003341e-05], ['nature and woods', 1.3503805e-05]]
[['47.7072875, -117.498359'], ['nature and woods', 1.974945e-06], ['non-scenic', 1.1175955e-06], ['nature and woods', 1.002373e-06]]
[['47.7158335, -117.497687'], ['nature and woods', 1.9417392e-05], ['nature and woods', 2.6436921e-06], ['nature and woods', 2.3168023e-07]]
[['47.72506780000001, -117.4986577'], ['non-scenic', 0.023061408], ['non-scenic', 0.0040252688], ['non-scenic', 0.00011652476]]
[['47.7347639, -117.4962545'], ['non-scenic', 0.00067099428], ['non-scenic', 0.00015329468], ['non-scenic', 0.00013694268]]
[['47.7431671, -117.4997286'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.75181930000001, -117.4986632'], ['non-scenic', 0.00062859984], ['non-scenic', 0.00015412124], ['non-scenic', 7.9748897e-05]]
[['47.7619431, -117.4966464'], ['nature and woods', 9.1945494e-06], ['nature and woods', 2.1197734e-06], ['nature and woods', 9.387158e-07]]
[['47.7710728, -117.4999228'], ['non-scenic', 2.7585596e-05], ['fields', 8.0079635e-06], ['non-scenic', 4.7958547e-06]]
[['47.7787291, -117.498715'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.78502779999999, -117.4937441'], ['nature and woods', 1.0468651e-05], ['nature and woods', 7.7598661e-06], ['nature and woods', 3.1165794e-06]]
[['47.8080329, -117.4976033'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8080658, -117.4978365'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
