[['48.8230604, -124.0230925'], ['fields', 0.00024782255], ['nature and woods', 4.7109784e-06], ['nature and woods', 1.4818659e-06]]
[['48.8317645, -124.0232537'], ['non-scenic', 6.196396e-06], ['nature and woods', 3.2167743e-06], ['nature and woods', 2.9031407e-06]]
[['48.8419556, -124.0280196'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8478795, -124.0214727'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8508386, -124.0273024'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.861194, -123.999999'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8838549, -124.008534'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8926921, -124.0153014'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8962051, -124.0218259'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9057675, -124.0224051'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9129534, -124.0228947'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9218427, -124.0232851'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9311615, -124.0232719'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9406278, -124.0255809'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9476322, -124.0255058'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2157803, -124.0022444'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2233757, -124.0053741'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2284061, -124.0054325'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2291071, -124.003844'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2292771, -124.002928'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2769183, -124.0443456'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2772742, -124.0442652'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.279522, -124.0445495'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3139186, -124.0051488'], ['fields', 8.8052811e-06], ['nature and woods', 6.2014637e-06], ['nature and woods', 5.0147914e-06]]
[['46.3141077, -124.0069888'], ['nature and woods', 1.9534125e-05], ['nature and woods', 3.3301285e-06], ['fields', 2.2753884e-06]]
[['46.3142187, -124.0077355'], ['nature and woods', 4.1089079e-05], ['nature and woods', 2.3735818e-05], ['nature and woods', 8.1358794e-06]]
