[['46.58427510000001, -122.2463109'], ['non-scenic', 0.00026899209], ['non-scenic', 0.00025241432], ['nature and woods', 6.0902312e-06]]
[['46.5910069, -122.24098'], ['nature and woods', 2.3454197e-05], ['nature and woods', 6.1777905e-06], ['nature and woods', 2.4030746e-06]]
[['46.5997239, -122.2385082'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.60952409999999, -122.2405683'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6141706, -122.2472279'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6334926, -122.2434905'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.635914, -122.2414887'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.64502, -122.2401724'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.652558, -122.2391417'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6641456, -122.2429588'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.67152730000001, -122.240089'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6812487, -122.2397365'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6894703, -122.2386439'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.698944, -122.241842'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7081609, -122.2412686'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7171469, -122.239894'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.726229, -122.2423479'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7323094, -122.2465118'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7441547, -122.234767'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7527224, -122.2414491'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7563639, -122.2460876'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7813971, -122.2364929'], ['non-scenic', 4.7224927e-05], ['non-scenic', 1.1409947e-05], ['nature and woods', 7.0166921e-06]]
[['46.7822009, -122.240241'], ['nature and woods', 4.7573681e-06], ['nature and woods', 1.4870288e-06], ['nature and woods', 1.1268721e-06]]
[['46.793511, -122.243653'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7980222, -122.2413362'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8078724, -122.2408711'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8170661, -122.2412036'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8243592, -122.247258'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.83438169999999, -122.2512326'], ['nature and woods', 1.4800305e-05], ['nature and woods', 2.8704646e-06], ['nature and woods', 1.7307837e-06]]
[['46.8421797, -122.247751'], ['nature and woods', 5.763839e-06], ['nature and woods', 3.3721126e-06], ['nature and woods', 5.5674843e-07]]
[['46.8521054, -122.2412072'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.864971, -122.2469583'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8697446, -122.2409196'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8752202, -122.2453753'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8878446, -122.2400998'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8916718, -122.2341371'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.898584, -122.2253407'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9159343, -122.227373'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.927631, -122.247709'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9317484, -122.2414099'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9479161, -122.247423'], ['nature and woods', 0.00020799032], ['non-scenic', 1.3691352e-05], ['non-scenic', 9.859099e-06]]
[['46.950232, -122.2406693'], ['non-scenic', 5.9325116e-06], ['non-scenic', 5.1031448e-06], ['non-scenic', 2.295064e-06]]
[['46.960134, -122.2393931'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.969903, -122.241747'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9780672, -122.2426881'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9875768, -122.2373206'], ['nature and woods', 5.4145257e-06], ['nature and woods', 4.8572488e-06], ['nature and woods', 1.2407996e-06]]
[['46.9960861, -122.2412123'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.00497, -122.240291'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.014402, -122.239864'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.023053, -122.2430389'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.032628, -122.238897'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.04071, -122.244583'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.050349, -122.240732'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.05898699999999, -122.240432'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.069253, -122.240723'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.07539810000001, -122.2403698'], ['nature and woods', 7.0626111e-06], ['nature and woods', 1.1399419e-06], ['nature and woods', 9.5867927e-07]]
[['47.087095, -122.2301458'], ['nature and woods', 0.00036728918], ['nature and woods', 0.00013265605], ['nature and woods', 1.7633649e-05]]
[['47.0965406, -122.2417951'], ['non-scenic', 0.0022146003], ['non-scenic', 0.001151701], ['non-scenic', 0.00063855079]]
[['47.103838, -122.243618'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1131444, -122.245585'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.122053, -122.2413047'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1310864, -122.2411492'], ['non-scenic', 0.0014263944], ['non-scenic', 0.00078535109], ['non-scenic', 0.00071993482]]
[['47.1396872, -122.2402005'], ['non-scenic', 1.5533127e-05], ['non-scenic', 1.0130999e-05], ['nature and woods', 4.0917594e-06]]
[['47.1490732, -122.2411527'], ['nature and woods', 1.9785453e-05], ['nature and woods', 1.3200834e-06], ['nature and woods', 8.6519725e-07]]
[['47.1575834, -122.2410902'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1670787, -122.2410459'], ['nature and woods', 5.0230778e-05], ['nature and woods', 2.8744469e-05], ['non-scenic', 1.9929696e-05]]
