[['46.8308111, -121.5191355'], ['nature and woods', 5.4551733e-06], ['nature and woods', 8.8800454e-07], ['nature and woods', 4.7196389e-07]]
[['46.831002, -121.5189111'], ['non-scenic', 5.4320775e-05], ['nature and woods', 2.3112218e-06], ['nature and woods', 3.0856629e-07]]
[['46.8311943, -121.5187755'], ['nature and woods', 5.0065569e-06], ['nature and woods', 1.3804685e-06], ['nature and woods', 3.7367457e-07]]
[['46.8314452, -121.5187487'], ['nature and woods', 1.4062372e-05], ['nature and woods', 2.1751055e-06], ['nature and woods', 1.1512967e-06]]
[['46.8539757, -121.5149235'], ['nature and woods', 5.2284249e-06], ['nature and woods', 7.3398451e-07], ['nature and woods', 1.466221e-07]]
[['46.8543697, -121.5147464'], ['nature and woods', 3.1423565e-06], ['nature and woods', 9.2902565e-07], ['nature and woods', 1.2465894e-07]]
[['46.8547302, -121.5148228'], ['nature and woods', 0.00023518789], ['nature and woods', 4.3019104e-06], ['nature and woods', 1.6332485e-06]]
[['46.8698629, -121.5147156'], ['non-scenic', 0.00014347336], ['non-scenic', 3.3539651e-05], ['non-scenic', 7.1381248e-07]]
[['46.8893074, -121.4953127'], ['non-scenic', 3.8532529e-05], ['non-scenic', 3.8091493e-05], ['nature and woods', 3.2694457e-05]]
[['46.89125569999999, -121.4896589'], ['nature and woods', 7.4624186e-05], ['non-scenic', 6.403173e-05], ['non-scenic', 5.3597373e-06]]
[['46.8928208, -121.48491'], ['nature and woods', 1.9665857e-05], ['non-scenic', 1.9581503e-05], ['non-scenic', 1.5197819e-05]]
[['46.8938181, -121.4810931'], ['nature and woods', 0.00014516558], ['non-scenic', 0.0001316086], ['non-scenic', 5.6169583e-06]]
[['46.925767, -121.4835395'], ['non-scenic', 1.8683302e-05], ['mountain', 9.76666e-07], ['non-scenic', 9.3489251e-07]]
[['46.9261393, -121.4840225'], ['non-scenic', 1.2371237e-05], ['non-scenic', 3.3093977e-06], ['mountain', 1.3220269e-06]]
[['46.9313276, -121.4889664'], ['mountain', 3.461224e-06], ['non-scenic', 1.2413863e-06], ['mountain', 6.3088282e-07]]
[['46.9407293, -121.4761332'], ['nature and woods', 1.8286542e-05], ['nature and woods', 6.7841488e-06], ['nature and woods', 3.9880101e-06]]
[['46.955597, -121.4763763'], ['mountain', 7.5816042e-06], ['mountain', 4.1994572e-06], ['mountain', 2.1847281e-06]]
[['46.9610638, -121.4810612'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9682154, -121.4893949'], ['mountain', 9.6437088e-06], ['mountain', 3.4661794e-06], ['nature and woods', 2.3070902e-06]]
[['46.9739875, -121.4943767'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9803651, -121.5002545'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0061231, -121.4960464'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.008586, -121.4906254'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0119686, -121.4858767'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
