[['46.6704867, -120.6263593'], ['water', 0.00034352974], ['non-scenic', 3.7894235e-05], ['non-scenic', 1.4536924e-05]]
[['46.6810628, -120.6257374'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6904645, -120.6247999'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7006056, -120.6180826'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.70849579999999, -120.6222646'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7171972, -120.6239741'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7259445, -120.6221179'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7356225, -120.6220129'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7450838, -120.6218067'], ['non-scenic', 1.9448189e-05], ['non-scenic', 1.930072e-05], ['nature and woods', 1.3650929e-05]]
[['46.7566679, -120.6207394'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7644306, -120.6167285'], ['non-scenic', 0.0015517263], ['non-scenic', 0.00010912643], ['non-scenic', 1.8334453e-05]]
[['46.7716328, -120.6225881'], ['fields', 0.00010687082], ['non-scenic', 6.6846187e-05], ['non-scenic', 2.6528962e-05]]
[['46.7781449, -120.6285049'], ['fields', 8.1888713e-05], ['non-scenic', 4.8603273e-05], ['non-scenic', 8.6411219e-06]]
[['46.78514269999999, -120.633103'], ['fields', 0.00030865584], ['non-scenic', 4.5228237e-05], ['nature and woods', 1.6699423e-05]]
[['46.799739, -120.6190441'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.805997, -120.6241068'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8180279, -120.6268444'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8242379, -120.6202648'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8365617, -120.6181419'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.84354949999999, -120.6225802'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8508502, -120.6278499'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8603301, -120.6242829'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8621223, -120.6284469'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8649247, -120.6361255'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8996361, -120.6430715'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8997912, -120.6429293'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9120173, -120.6200626'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9126404, -120.6239517'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9240779, -120.623929'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9330793, -120.6240505'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9420431, -120.6240426'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9509748, -120.6247914'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9655847, -120.6257953'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.96908089999999, -120.6239006'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9774869, -120.6238033'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9871383, -120.6256191'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.999627, -120.6237913'], ['water', 0.0001791363], ['non-scenic', 5.457818e-05], ['non-scenic', 2.4023073e-05]]
[['46.9996272, -120.6238486'], ['water', 0.0001791363], ['non-scenic', 5.457818e-05], ['non-scenic', 2.4023073e-05]]
[['47.0141189, -120.6238115'], ['non-scenic', 0.002208581], ['non-scenic', 0.00060751388], ['non-scenic', 8.2567516e-05]]
[['47.0217541, -120.6274191'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0322043, -120.6235353'], ['water', 0.00015339027], ['non-scenic', 1.1802777e-05], ['non-scenic', 2.7073568e-06]]
[['47.0410783, -120.6242368'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0491244, -120.6242643'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.05907269999999, -120.6240982'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.06779239999999, -120.6247379'], ['non-scenic', 8.8023284e-05], ['non-scenic', 2.1209959e-05], ['non-scenic', 1.6207541e-05]]
[['47.0784621, -120.6288002'], ['non-scenic', 0.00042469637], ['non-scenic', 0.00017599158], ['nature and woods', 0.00014381006]]
[['47.08611519999999, -120.6243635'], ['nature and woods', 0.00037630677], ['non-scenic', 0.00020619527], ['nature and woods', 7.4814893e-06]]
[['47.0950786, -120.624376'], ['non-scenic', 0.00047669307], ['fields', 0.00022941364], ['non-scenic', 0.00011687235]]
[['47.1049876, -120.6238453'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1056217, -120.6200356'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.121075, -120.615981'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1309726, -120.6137696'], ['nature and woods', 4.1001946e-05], ['non-scenic', 8.0425634e-06], ['nature and woods', 7.4159902e-06]]
[['47.1403972, -120.6136677'], ['non-scenic', 3.0098154e-05], ['nature and woods', 5.8145924e-06], ['non-scenic', 4.7452718e-06]]
[['47.1491833, -120.6236822'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.15721449999999, -120.6271747'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.16799839999999, -120.6275427'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
