[['46.3173025, -120.5143458'], ['non-scenic', 1.7104398e-05], ['non-scenic', 1.2673016e-05], ['fields', 4.1492726e-06]]
[['46.317308, -120.5140255'], ['non-scenic', 2.78672e-05], ['non-scenic', 1.8156466e-05], ['fields', 9.7422881e-06]]
[['46.3300385, -120.522877'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3390732, -120.522909'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3461995, -120.5141403'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3608764, -120.5142164'], ['nature and woods', 6.8641581e-05], ['fields', 6.957272e-06], ['fields', 1.9701786e-06]]
[['46.36795859999999, -120.5142109'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3754113, -120.5141726'], ['fields', 1.6448306e-06], ['fields', 5.0821956e-07], ['fields', 6.1310303e-08]]
[['46.3797819, -120.5178908'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.39018, -120.514144'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.40208699999999, -120.5125201'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4104254, -120.5212333'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.41918769999999, -120.5141536'], ['non-scenic', 2.225181e-05], ['fields', 1.8076058e-05], ['fields', 1.2243301e-05]]
[['46.4328458, -120.5180313'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4381667, -120.5129618'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4476529, -120.5137837'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.456018, -120.5232554'], ['nature and woods', 1.0299425e-05], ['fields', 7.7054472e-07], ['fields', 4.9983709e-07]]
[['46.4630146, -120.5140513'], ['non-scenic', 3.3881963e-05], ['non-scenic', 2.83302e-05], ['fields', 1.5232118e-05]]
[['46.47756, -120.5141775'], ['nature and woods', 5.2723881e-05], ['non-scenic', 8.5981101e-06], ['non-scenic', 5.3629815e-06]]
[['46.4829897, -120.5075896'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4920163, -120.5141621'], ['fields', 1.5204973e-05], ['fields', 3.943549e-06], ['fields', 1.5224412e-06]]
[['46.498707, -120.5126247'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5021247, -120.5082031'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5277549, -120.52079'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5300411, -120.51694'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5398613, -120.5122529'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.546074, -120.5138217'], ['non-scenic', 0.0016651812], ['fields', 0.00014195235], ['non-scenic', 0.00011161138]]
[['46.5550816, -120.5141635'], ['non-scenic', 0.0018601744], ['non-scenic', 0.00084170297], ['nature and woods', 0.00012810822]]
[['46.5640767, -120.5135333'], ['non-scenic', 0.00028196644], ['non-scenic', 9.8327866e-05], ['non-scenic', 5.9387599e-05]]
[['46.5730808, -120.5147619'], ['non-scenic', 0.00017661111], ['non-scenic', 6.362288e-05], ['non-scenic', 7.1459963e-06]]
[['46.582082, -120.5147645'], ['non-scenic', 0.0013072384], ['non-scenic', 0.00036138078], ['non-scenic', 0.00015070121]]
[['46.5911151, -120.5141601'], ['non-scenic', 0.0011747922], ['non-scenic', 0.0010594828], ['non-scenic', 0.00020787606]]
[['46.6001213, -120.5139648'], ['non-scenic', 0.0005464229], ['non-scenic', 0.00025415214], ['non-scenic', 3.8333936e-05]]
[['46.6088248, -120.5141584'], ['non-scenic', 0.0048592896], ['non-scenic', 0.0011310574], ['non-scenic', 0.00043748328]]
[['46.6170791, -120.5141884'], ['non-scenic', 0.00024288634], ['non-scenic', 0.00016216877], ['non-scenic', 3.8189159e-05]]
[['46.6274008, -120.5141738'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6344731, -120.513841'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6434258, -120.512468'], ['non-scenic', 5.6646688e-05], ['non-scenic', 3.4214136e-05], ['non-scenic', 2.323338e-05]]
[['46.6519094, -120.5163054'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.66518929999999, -120.5160016'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6720619, -120.5146055'], ['non-scenic', 0.00097364018], ['non-scenic', 7.4509e-05], ['non-scenic', 7.3148032e-05]]
[['46.6820166, -120.5141474'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6905655, -120.5141467'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6996857, -120.5156551'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7079719, -120.5159466'], ['fields', 0.00183309], ['non-scenic', 0.00087416463], ['non-scenic', 0.00035112901]]
[['46.7170859, -120.5145202'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7261444, -120.5140902'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7344591, -120.5163363'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.74230120000001, -120.5205263'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7504377, -120.526112'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7702789, -120.5101325'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7716509, -120.5136419'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.77557729999999, -120.5190053'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7839913, -120.5243378'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8017712, -120.5111422'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8032479, -120.51401'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.830959, -120.5080815'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8350778, -120.5133095'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.837833, -120.5167467'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8388824, -120.5203217'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8749654, -120.4933808'], ['nature and woods', 9.4897216e-05], ['non-scenic', 4.380523e-05], ['non-scenic', 8.9376517e-06]]
[['46.87660349999999, -120.4951659'], ['sightseeing', 5.5612469e-05], ['non-scenic', 2.9239856e-05], ['non-scenic', 1.0874815e-05]]
[['46.8772586, -120.4952866'], ['non-scenic', 9.7659031e-05], ['non-scenic', 4.7038258e-05], ['non-scenic', 9.5644127e-06]]
[['46.8958811, -120.5027266'], ['non-scenic', 3.9797564e-05], ['non-scenic', 1.7990742e-05], ['non-scenic', 1.7450535e-05]]
[['46.8977713, -120.5042019'], ['non-scenic', 6.4041385e-05], ['non-scenic', 2.9349669e-05], ['non-scenic', 2.2133656e-06]]
[['46.9071824, -120.5054245'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.91561799999999, -120.5079422'], ['non-scenic', 5.4553126e-05], ['non-scenic', 3.0209891e-05], ['non-scenic', 7.4196209e-06]]
[['46.9245564, -120.50971'], ['non-scenic', 6.8307665e-05], ['non-scenic', 6.214864e-05], ['nature and woods', 4.7255462e-06]]
[['46.93338, -120.5130994'], ['non-scenic', 0.00010296371], ['non-scenic', 1.5303309e-05], ['non-scenic', 1.3549497e-05]]
[['46.94216369999999, -120.5140822'], ['fields', 6.5478831e-05], ['nature and woods', 5.3257394e-05], ['non-scenic', 1.6601727e-05]]
[['46.950876, -120.5181085'], ['nature and woods', 0.00028862469], ['non-scenic', 0.00013343495], ['fields', 2.9862405e-05]]
[['46.9588516, -120.5140909'], ['non-scenic', 0.00013737372], ['fields', 6.2648222e-05], ['non-scenic', 2.5017531e-05]]
[['46.9698581, -120.5139076'], ['non-scenic', 0.00048761017], ['non-scenic', 2.4104724e-05], ['non-scenic', 7.9398242e-06]]
[['46.9731047, -120.5148049'], ['water', 3.7562677e-05], ['non-scenic', 2.8538545e-05], ['non-scenic', 1.5431142e-05]]
[['46.9870803, -120.5156962'], ['non-scenic', 0.00049299706], ['non-scenic', 0.00028380333], ['non-scenic', 0.00016979295]]
[['46.9956736, -120.5138742'], ['non-scenic', 0.00044638183], ['fields', 6.9906666e-05], ['non-scenic', 1.261844e-05]]
[['47.0058664, -120.5148926'], ['non-scenic', 0.0046917205], ['non-scenic', 0.00010067874], ['non-scenic', 3.7678124e-05]]
[['47.0141905, -120.5141629'], ['nature and woods', 0.00033819402], ['non-scenic', 0.00011744814], ['water', 1.4813232e-05]]
[['47.0228863, -120.5141577'], ['non-scenic', 0.00020341411], ['non-scenic', 7.8103985e-05], ['non-scenic', 1.7091374e-05]]
[['47.032034, -120.5161108'], ['nature and woods', 1.9829984e-05], ['non-scenic', 1.6644524e-05], ['non-scenic', 4.5125971e-06]]
[['47.0412747, -120.5153033'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.05007500000001, -120.5182984'], ['nature and woods', 2.9663566e-05], ['non-scenic', 9.2182363e-06], ['non-scenic', 4.5830648e-06]]
[['47.056625, -120.5126323'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0660692, -120.5138826'], ['water', 3.1235948e-05], ['non-scenic', 2.4305262e-05], ['fields', 1.4483463e-05]]
[['47.0699863, -120.5246023'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
