[['47.0707078, -123.2191844'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0960258, -123.218668'], ['nature and woods', 7.4768345e-06], ['nature and woods', 6.9561122e-07], ['nature and woods', 4.7744635e-08]]
[['47.0971368, -123.2141522'], ['nature and woods', 4.4176481e-06], ['nature and woods', 1.6182471e-06], ['nature and woods', 2.9691145e-07]]
[['47.10587779999999, -123.2147688'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1105595, -123.2051845'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1228531, -123.212574'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.131099, -123.2147456'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1374831, -123.2173293'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.14989079999999, -123.2140742'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1563268, -123.2119569'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1699556, -123.2191023'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1769231, -123.2136141'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.18507049999999, -123.2143056'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1910885, -123.2115666'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2002683, -123.2177462'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2121238, -123.2143357'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2223789, -123.2127617'], ['nature and woods', 2.8304239e-05], ['nature and woods', 1.9216537e-05], ['nature and woods', 1.4727956e-05]]
[['47.2311006, -123.2132849'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2379369, -123.2134686'], ['nature and woods', 9.6767981e-06], ['nature and woods', 2.9933749e-06], ['non-scenic', 1.4247428e-06]]
[['47.24448899999999, -123.2127046'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
