[['47.3020996, -122.4436745'], ['fields', 0.0019094389], ['non-scenic', 0.0008537877], ['non-scenic', 0.00030859717]]
[['47.30539, -122.442478'], ['non-scenic', 0.00033989418], ['non-scenic', 4.2947049e-05], ['non-scenic', 4.0363208e-05]]
[['47.34415749999999, -122.4629474'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3470816, -122.4611373'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3562455, -122.4605166'], ['nature and woods', 3.1464177e-05], ['nature and woods', 1.5984568e-06], ['nature and woods', 7.1376809e-07]]
[['47.36507539999999, -122.4611966'], ['non-scenic', 0.00040474563], ['nature and woods', 0.00017635057], ['non-scenic', 1.09855e-05]]
[['47.373465, -122.461782'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.386726, -122.4592334'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3918679, -122.460527'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4017142, -122.4619444'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4100794, -122.4604488'], ['non-scenic', 2.0305513e-05], ['nature and woods', 1.1669334e-05], ['nature and woods', 1.341967e-06]]
[['47.4190792, -122.4604927'], ['non-scenic', 0.00021612082], ['non-scenic', 0.00016504522], ['nature and woods', 9.1277843e-06]]
[['47.428079, -122.4604778'], ['non-scenic', 0.0041258708], ['non-scenic', 0.0010978238], ['non-scenic', 1.0317252e-05]]
[['47.4370789, -122.4604802'], ['nature and woods', 5.9793994e-05], ['nature and woods', 1.876683e-05], ['non-scenic', 6.2237968e-06]]
[['47.446079, -122.4604903'], ['non-scenic', 0.0034811967], ['non-scenic', 0.00021214255], ['non-scenic', 6.6719425e-05]]
[['47.4550782, -122.4604163'], ['non-scenic', 0.00039947414], ['non-scenic', 0.00020959393], ['non-scenic', 5.1227573e-05]]
[['47.4640772, -122.4603245'], ['nature and woods', 3.6317993e-05], ['nature and woods', 3.8359649e-06], ['nature and woods', 1.7227095e-06]]
[['47.4730779, -122.4602035'], ['non-scenic', 2.4099432e-05], ['non-scenic', 1.9062487e-05], ['nature and woods', 2.310484e-06]]
[['47.48286, -122.4583584'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.490573, -122.460659'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5000775, -122.4602062'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5072474, -122.4618115'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5198365, -122.4607893'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5199322, -122.4594222'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5200279, -122.458055'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5201236, -122.4566878'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.57379239999999, -122.4730868'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5748195, -122.4697565'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5767108, -122.4655565'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5797393, -122.4591712'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5825784, -122.4529706'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6050958, -122.4603702'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6050984, -122.4605935'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6051009, -122.4608168'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6051034, -122.4610401'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6334101, -122.490351'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6614183, -122.4341973'], ['sightseeing', 0.00082689582], ['sightseeing', 0.00018827645], ['water', 7.1009097e-05]]
[['47.6617064, -122.4342404'], ['non-scenic', 0.0032715285], ['non-scenic', 0.0027328015], ['nature and woods', 0.00023090717]]
[['47.662019, -122.4341659'], ['non-scenic', 0.0001212246], ['non-scenic', 5.4930475e-05], ['nature and woods', 1.9666499e-05]]
[['47.6924083, -122.5059732'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6939699, -122.5058736'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7002761, -122.5064614'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7466662, -122.4772849'], ['fields', 0.012656014], ['fields', 0.001222786], ['nature and woods', 0.00014895995]]
[['47.7479927, -122.4742309'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7563069, -122.4717632'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7630069, -122.4724092'], ['non-scenic', 0.016931739], ['nature and woods', 6.387991e-05], ['nature and woods', 1.0363541e-05]]
