[['47.6432384, -124.3856722'], ['nature and woods', 2.4262223e-05], ['nature and woods', 1.2831749e-05], ['non-scenic', 1.9831737e-06]]
[['47.66314209999999, -124.3934073'], ['nature and woods', 7.408506e-06], ['nature and woods', 2.6269142e-06], ['nature and woods', 8.1195708e-07]]
[['47.6636763, -124.3937065'], ['nature and woods', 2.6513113e-05], ['nature and woods', 1.2797243e-06], ['nature and woods', 3.5844306e-07]]
[['47.6772078, -124.4010052'], ['nature and woods', 1.4032727e-05], ['nature and woods', 5.460889e-06], ['nature and woods', 1.0524234e-06]]
[['47.6831972, -124.4047553'], ['nature and woods', 2.9162095e-06], ['nature and woods', 2.0136622e-06], ['nature and woods', 1.1611393e-06]]
[['47.6898857, -124.4097296'], ['non-scenic', 9.8160526e-05], ['non-scenic', 3.9986044e-05], ['nature and woods', 3.7244114e-05]]
[['47.69185299999999, -124.4103166'], ['non-scenic', 5.4499405e-06], ['nature and woods', 4.4397448e-06], ['nature and woods', 3.0569988e-06]]
[['47.7074528, -124.4144394'], ['nature and woods', 3.3517623e-05], ['nature and woods', 8.660897e-06], ['nature and woods', 8.2942779e-06]]
[['47.7075142, -124.4144615'], ['nature and woods', 3.8067978e-05], ['non-scenic', 7.461907e-06], ['nature and woods', 6.312714e-06]]
[['47.7142913, -124.4137019'], ['nature and woods', 1.5978499e-06], ['nature and woods', 8.7758758e-07], ['nature and woods', 5.3712574e-07]]
[['47.7150893, -124.4134096'], ['nature and woods', 1.135292e-05], ['nature and woods', 4.5519755e-07], ['nature and woods', 1.5478085e-07]]
[['47.7469293, -124.4269858'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.74782, -124.42773'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7853004, -124.4278768'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8110429, -124.4314122'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.81118379999999, -124.4315911'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8205339, -124.4446551'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8216052, -124.4483257'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8329642, -124.4478214'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8429333, -124.443243'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8507678, -124.4442348'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8593739, -124.4476147'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8735499, -124.4493274'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8752149, -124.447305'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8871105, -124.4484407'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8968189, -124.4453723'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9048759, -124.4442114'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9139989, -124.4452859'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9175739, -124.44554'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9356491, -124.4485002'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9395239, -124.4432259'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9543942, -124.4519948'], ['non-scenic', 7.0962606e-06], ['non-scenic', 6.1834207e-06], ['non-scenic', 3.8778862e-06]]
[['47.9588057, -124.4471352'], ['non-scenic', 3.1215517e-05], ['non-scenic', 1.8388202e-05], ['nature and woods', 1.6612801e-05]]
[['47.9636961, -124.4445996'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9787116, -124.4560621'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9862768, -124.4532022'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
